,x,y,time,theta
0.0,282.5,252.0,0.23504996299743652,-0.10856280301772192
1.0,286.5,265.5,0.2897524833679199,-0.09837483894817603
2.0,280.5,337.0,0.30222129821777344,-0.044603354547648244
3.0,280.0,269.0,0.3340165615081787,-0.09573520642770278
4.0,282.5,286.0,0.3700850009918213,-0.08292445174668991
5.0,282.5,286.5,0.4020674228668213,-0.08254793022884468
6.0,287.5,288.5,0.4340174198150635,-0.08104199915785698
7.0,283.0,286.0,0.47003746032714844,-0.08292445174668991
8.0,294.5,287.5,0.5020902156829834,-0.0817949336418208
9.0,286.5,286.5,0.5345547199249268,-0.08254793022884468
10.0,287.0,294.5,0.5700850486755371,-0.07652570793098137
11.0,287.5,293.5,0.6022458076477051,-0.07727826548026298
12.0,286.0,283.5,0.634148120880127,-0.08480729054957162
13.0,288.49981689453125,286.537353515625,0.6701083183288574,-0.0825198020449282
14.0,287.0,294.0,0.7020480632781982,-0.0769019787758311
15.0,185.0934600830078,430.31402587890625,0.7342112064361572,0.025007857097051556
16.0,173.5,436.5,0.7661423683166504,0.029596449056395746
17.0,201.0,476.5,0.802128791809082,0.05918099844581315
18.0,206.0,479.5,0.8341703414916992,0.06139361253960479
19.0,203.5,477.5,0.8665637969970703,0.059918635512291374
20.0,205.8730926513672,479.09991455078125,0.9022016525268555,0.06109858586276695
21.0,193.7604522705078,473.1075744628906,0.9340970516204834,0.05667788463472484
22.0,204.0,473.5,0.9666879177093506,0.05696749520507799
23.0,205.5,480.0,1.0022327899932861,0.061762294767752524
24.0,203.5,478.5,1.0343680381774902,0.060656173603767516
25.0,203.5,479.5,1.066152811050415,0.06139361253960479
26.0,202.5,478.0,1.102144718170166,0.06028741694119816
27.0,199.49681091308594,488.6533508300781,1.134230136871338,0.06813901108765841
28.0,200.0,478.0,1.166567325592041,0.06028741694119816
29.0,202.5,475.0,1.202085256576538,0.05807435766349489
30.0,201.0,477.0,1.2340574264526367,0.059549829339631544
31.0,200.0,477.0,1.2661633491516113,0.059549829339631544
32.0,202.0,477.0,1.2980189323425293,0.059549829339631544
33.0,205.5,480.0,1.334031581878662,0.061762294767752524
34.0,201.0,477.0,1.3660223484039307,0.059549829339631544
35.0,203.0,477.5,1.3980348110198975,0.059918635512291374
36.0,204.0,476.0,1.4340226650238037,0.05881214285344011
37.0,166.49996948242188,447.8079833984375,1.4660022258758545,0.03797533645063084
38.0,168.50010681152344,443.55126953125,1.4980401992797852,0.03482262443239653
39.0,205.0,474.5,1.5340800285339355,0.05770542811117951
40.0,183.6930389404297,462.46417236328125,1.5660576820373535,0.0488173101251973
41.0,202.5,478.0,1.5980489253997803,0.06028741694119816
42.0,185.57589721679688,466.8108825683594,1.6339967250823975,0.05202885750647018
43.0,203.5,480.0,1.666398525238037,0.061762294767752524
